Model,Case Type,Color,Case Size,Watch Connectivity,Original Bands,Working Status,Estimated Value,Condition,Acquired As,Activation Lock,Physical Damage,Original Box,Warranty,Year Acquired,Comments
Apple Watch (1st gen.),Aluminum,Silver,42,,Unknown,Working,50,Excellent,Used,No,No,No,Expired,2018,
Apple Watch (1st gen.),Aluminum,Space Gray,42,,Black Sport Band,Working,50,Excellent,New,No,No,Yes,Expired,2015,
Apple Watch (1st gen.),Stainless Steel,Silver,42,,Black Classic Buckle,Working,100,Excellent,New,No,No,Yes,Expired,2015,First Apple Watch
Apple Watch (1st gen.),Stainless Steel,Space Black,42,,Black Sport Band,Working,100,Excellent,New,No,No,Yes,Expired,2015,
Apple Watch Series 2,Stainless Steel,Space Black,42,GPS,Black Sport Band,Working,175,Excellent,New,No,No,Yes,Expired,2016,
Apple Watch Series 3,Ceramic,Gray,42,GPS + Cellular,Gray/Black Sport Band,Working,500,Excellent,New,No,No,Yes,Expired,2017,
Apple Watch Series 4,Stainless Steel,Space Black,44,GPS + Cellular,Black Sport Band,Working,400,Excellent,New,No,No,Yes,Expired,2018,
Apple Watch Series 5,Titanium,Space Black,44,GPS + Cellular,Black Sport Band and Dark Gray Sport Band,Working,450,Excellent,New,No,No,Yes,Expired,2019,
Apple Watch Series 6,Titanium,Space Black,44,GPS + Cellular,Charcoal Braided Solo Loop and Dark Gray Sport Band,Working,700,Excellent,New,No,No,Yes,Expired,2020,
Apple Watch Series 7,Titanium,Space Black,45,GPS + Cellular,Tornado/Gray Sport Loop and Dark Gray Sport Band,Working,849,Excellent,New,No,No,Yes,AppleCare+,2021,
